,Property_Type,address,Area_of_land,Bedrooms,Bathrooms,HouseSize,Advertiser,contact_num,Price
21,House,"DALUPOTHA NEGOMBO, Negombo",10,3,2,2000 sq.ft.,R M A PAUL,+94 764 871 907,"19,500,000"
22,House,"Maeliya, Ja-Ela",16.5,5,2,3800 sq.ft.,Prabu,+94 767 609 595,"37,000,000"
23,House,Negombo,71,3,2,3 Car parking spaces,Rukshan Goonewardene,+94 777 270 887,"80,000,000"
24,House,Malabe,10.12,4,4,2675 sq.ft.,Mister T,+94 764 157 736,"49,500,000"
25,House,Madiwela,7.68,4,4,3200 sq.ft.,Mr. Pasqual,+94 773 637 424,"52,500,000"
26,House, , , , , , , ,"52,500,000"
27,House,Wattala,8.5,3,3,3700 sq.ft.,Mister T,+94 773 252 566,"35,000,000"
28,House,"Corea Mawatha, Thalawathugoda",37,4,4,4500 sq.ft.,Shasta Blue,+94 788 700 800,"68,000,000"
29,House,"G H Perera Mawatha , Rattanapitiya",17,3,3,2 Car parking spaces,Niranjan Fernando,+94 777 325 106,"20,000,000"
30,House,Makuluduwa,97,4,4,5000 sq.ft.,Chintha Danansooriya,+94 777 362 600,"130,000,000"
31,House,Mount Lavinia,6,3,2,3300 sq.ft.,Rivindu Abeytissa,+94 775 928 089,"38,000,000"
32,House,"Stratford Terrace, Kirillapone, Colombo 5",11.70,5,4,2800 sq.ft.,,+94 774 239 656,"123,000,000"
33,House,"Temple Road, Maharagama",7,4,2,2300 sq.ft.,Dinesh Perera,+94 071 329 339,"40,000,000"
34,House,"Sri Lanka, Nagoda, Aniyakanda, Kandana",perches,5,3,2500 sq.ft.,Susantha wickramasingh,+94 714 034 903,"14,800,000"
35,House,"Koswaththa Road, Nawala",7.4,5,6,5200 sq.ft.,Sethmina Real Estate,+94 775 593 199,"95,000,000"
36,House,"Pelawatte, Battaramulla",12,4,4,3000 sq.ft.,Sethmina Real Estate,+94 767 293 199,"70,000,000"
37,House,"Isipathana Mawatha, Colombo 5",12,5,4,4000 sq.ft.,Sethmina Real Estate,+94 767 293 199,"125,000,000"
38,House,"Madewalikada Road, Rajagiriya",15,5+,6,5000 sq.ft.,Sethmina Real Estate,+94 767 293 199,"95,000,000"
39,House,"Siriparakum Mawatha, Angoda",15,4,3,3200 sq.ft.,A. Hettige,+94 760 211 980,"56,000,000"
40,House,"Koswatte Road, Nawala",10.5,3,4,3300 sq.ft.,annesley de silva,+94 759 872 136,"125,000,000"
41,House,Battaramulla,30,5,5,5000 sq.ft.,T&S Capital,+94 766 787 070,"190,000,000"
42,House,"Depanama, Pannipitiya",11,4,4,5000 sq.ft.,T&S Capital,+94 766 787 070,"55,000,000"
43,House,"Madiwela RD, Pita Kotte",20,3,2,2000 sq.ft.,Sethmina Real Estate,+94 767 293 199,"55,000,000"
44,House,"Pita kotte, Pita Kotte",7.68,4,4,3600 sq.ft.,Chandika,+94 777 582 323,"52,500,000"
45,House,Matara,34,5+,7,3500 sq.ft.,Priyal Gunasekara,+94 777 330 154,"35,000,000"
46,House, , , , , , , ,"35,000,000"
47,House,"Kahanthota Thunadahena Road, Malabe",11.5,4,4,2700 sq.ft.,Sarath Samarathunga,+94 777 217 360,"26,500,000"
48,House,Colombo 8,38,4,3,5 Car parking spaces,ACQUEST,+94 779 090 600,"304,000,000"
49,House,"Thalawathugod Rd, Hokandara., Thalawathugoda",7.3,4,4,2300 sq.ft.,Sarath Samarathunga,+94 777 217 360,"20,000,000"
50,House,"Kalalgoda Road, Thalawathugoda.",12.5,5+,4,4000 sq.ft.,Sarath Samarathunga,+94 777 217 360,"44,000,000"
51,House,Thalawathugoda,11,5+,4,3500 sq.ft.,Sarath Samarathunga,+94 777 217 360,"38,500,000"
52,House,"Kahanthota Road, Malabe",7,4,4,2450 sq.ft.,Sarath Samarathunga,+94 777 217 360,"21,000,000"
53,House, , , , , , , ,"21,000,000"
54,House,Kottawa,10,2,3,2800 sq.ft.,Sarath Samarathunga,+94 777 217 360,"27,500,000"
55,House,600 M to Kottawa,8.2,4,4,3600 sq.ft.,Sarath Samarathunga,+94 777 217 360,"32,000,000"
56,House,"Wanaguru Mw, Arangala, Malabe",19,3,3,1900 sq.ft.,Sarath Samarathunga,+94 777 217 360,"27,000,000"
57,House,"Talawathugoda Rd, Hokandara, Thalawathugoda",10,4,4,1538 sq.ft.,Sarath Samarathunga,+94 777 217 360,"19,500,000"
58,House,"M D H Jayawardane Mawatha, , Athurugiriya",8.7,4,3,4 Car parking spaces,Sarath Samarathunga,+94 777 217 360,"27,500,000"
59,House,Godigamuwa,31,4,2,3000 sq.ft.,Mr.Sagara,+94 772 529 292,"5,600,000"
60,House,"Kaluwarippuwa - West, Katana",40,3,1,1100 sq.ft.,Mr.Sagara,+94 772 529 292,"6,200,000"
61,House,"M D H Jayawardane Mw, Athurugiriya.",11.5,4,4,2450 sq.ft.,Sarath Samarathunga,+94 777 217 360,"24,500,000"
62,House,"Talawatugoda, Hokandara, Wanaguru Mw , Thalawathugoda",8,3,2,2400 sq.ft.,Sarath Samarathunga,+94 777 217 360,"22,500,000"
63,House, , , , , , , ,"22,500,000"
64,House,"Uthuwankanda Rd, Thalawathugoda",20,5,4,3500 sq.ft.,Sarath Samarathunga,+94 777 217 360,"55,000,000"
65,House,"Horana Road,, Kottawa",8.5,4,4,2500 sq.ft.,Sarath Samarathunga,+94 777 217 360,"28,000,000"
66,House, , , , , , , ,"28,000,000"
67,House, , , , , , , ,"28,000,000"
68,House,Nugegoda,20.8,5+,5,4794 sq.ft.,Rivindu Abeytissa,+94 775 928 089,"70,000,000"
69,House,Pita Kotte,11.2,4,3,4500 sq.ft.,Rivindu Abeytissa,+94 775 928 089,"59,000,000"
70,House,Mount Lavinia,6.20,5,4,4300 sq.ft.,Rivindu Abeytissa,+94 775 928 089,"34,000,000"
71,House,"Hunupitiya road , Wattala",10.9,3,2,3 Car parking spaces,Priya darshani,+94 777 379 875,"17,500,000"
72,House,Panadura,19,4,:,2 Car parking spaces,Bimsara Gamage,+94 777 800 606,"26,000,000"
73,House, , , , , , , ,"26,000,000"
74,House,"Dankotuwa Road, Negombo",3,2,2,1700 sq.ft.,Panduka,+94 779 445 428,"10,000,000"
75,House,"Kattuwa, Negombo",5,3,1,1152 sq.ft.,Mr.Sagara,+94 772 529 292,"6,250,000"
76,House,"Weediyawatta, Minuwangoda",27,2,1,1000 sq.ft.,Mr.Sagara,+94 772 529 292,"9,800,000"
77,House,"Medawelikada Road, Rajagiriya",6,3,3,2 Car parking spaces,Senanayake,+94 773 411 335,"36,000,000"
78,House, , , , , , , ,"36,000,000"
79,House,Mount Lavinia,16.38,4,4,2 Car parking spaces,Nuwaxn Properties,+94 701 053 624,"70,000,000"
80,House,Thalawathugoda,16,5,7,7500 sq.ft.,ACQUEST,+94 774 441 266,"120,000,000"
81,House, , , , , , , ,"120,000,000"
82,House,Colombo 5,26,4,4,3000 sq.ft.,ACQUEST,+94 779 090 600,"286,000,000"
83,House, , , , , , , ,"286,000,000"
84,House,Colombo 7,16.9,4,3,2700 sq.ft.,ACQUEST,+94 779 090 600,"350,000,000"
85,House,Colombo 7,19,3,3,4400 sq.ft.,ACQUEST,+94 779 090 600,"290,000,000"
86,House, , , , , , , ,"290,000,000"
87,House,"Church Road, Gampaha",5,4,2,1500 sq.ft.,Priyantha,+94 332 230 518,"17,500,000"
88,House,"Jayanthipur , Battaramulla",23,5,5,4000 sq.ft.,Hardy James - Estate Agency,+94 717 111 777,"97,000,000"
89,House, , , , , , , ,"97,000,000"
90,House, , , , , , , ,"97,000,000"
91,House,"Kalalgoda, Thalawathugoda",6.6,4,of,2 Car parking spaces,Bimsara Gamage,+94 777 800 606,"35,000,000"
92,House,"Robert Gunawardena Mawatha, Battaramulla",43,5,3,4012 sq.ft.,Hardy James - Estate Agency,+94 717 111 777,"120,000,000"
93,House,"Hunupitiya road , Wattala",6,4,2,2 Car parking spaces,Priya darshani,+94 777 379 875,"4,500,000"
94,House, , , , , , , ,"4,500,000"
95,House,Battaramulla,20,4,4,7139 sq.ft.,Trewin Fernando,+94 775 990 539,"130,000,000"
96,House,Kegalle,253,5,3,3500 sq.ft.,,+94 777 703 748,"50,000,000"
97,House,"7A, 2nd Lane, Medawelikada, Rajagiriya",6.05,3,3,2 Car parking spaces,Fahad Mowlana,+94 773 504 459,"35,000,000"
98,House,"Hunumulla, Marandagahamula., Maradagahmula",10,2,1,1500 sq.ft.,Mr.Sagara,+94 772 529 292,"3,400,000"
99,House,Demanhandiya,19.9,3,1,1000 sq.ft.,Mr.Sagara,+94 772 529 292,"8,000,000"
100,House,Kurana,20,4,1,2500 sq.ft.,Mr. Tony,+94 772 129 292,"22,000,000"
101,House,"Kadawala, Katana.",20,5+,2,4000 sq.ft.,Mr.Sagara,+94 772 529 292,"12,500,000"
102,House,Kimbulapitiya,14,5+,2,4000 sq.ft.,Mr.Sagara,+94 772 529 292,"10,000,000"
103,House,"Ranwimana, Kimbulapitiya",16.5,1,1,750 sq.ft.,Mr. Tony,+94 772 129 292,"5,500,000"
104,House,"Nedurupitiya , Kandana",10.6,4,2,1895 sq.ft.,Mr.Viraj,+94 775 834 341,"21,500,000"
105,House,"Kandy Road, Tennekumbura",7.5,2,3,1200 sq.ft.,Shakya Singhe Real Estate (Pvt) Ltd,+94 706 777 767,"28,000,888"
106,House,"Swashakthigama, Digana",15,3,1,1978 sq.ft.,Shakya Singhe Real Estate (Pvt)Ltd,+94 762 211 609,"11,500,888"
107,House, , , , , , , ,"11,500,888"
108,House,"Stanley Thilakarathne Mw, Nugegoda",20,4,3,3500 sq.ft.,Rohanthi,+94 773 597 765,"175,000,000"
109,House,"Jambugaspitiya , Kandy",65,4,2,3000 sq.ft.,Kandy property sales,+94 777 770 431,"34,500,000"
110,House,"Patma Road, Kapuwatta",11.5,2,1,2 Car parking spaces,Morin,+94 779 166 134,"8,000,000"
111,House,"Pelawatte, Battaramulla",27,5,3,6000 sq.ft.,Colombo Ventures,+94 741 780 955,"120,000,000"
112,House,Colombo 5,20,4,4,4700 sq.ft.,Colombo Ventures,+94 741 780 955,advertiser
113,House,"Dalupotha , Negombo",10,3,3,1400 sq.ft.,Mrs Rajapakse,+94 763 520 000,"13,000,000"
114,House,"Poruthota road , Negombo",9.15,5+,6,2900 sq.ft.,Mrs Rajapakse,+94 763 520 000,"55,000,000"
115,House,"Dalupotha road , Negombo",10,3,3,1500 sq.ft.,Mrs Rajapakse,+94 763 520 000,"14,500,000"
116,House,"Lewis place, Negombo",60,5+,6,3500 sq.ft.,Mrs. Rajapakse,+94 763 520 000,"120,000,000"
117,House,"Daluptha, Negombo",10,3,2,1600 sq.ft.,Mrs rajapakse,+94 763 520 000,"18,000,000"
118,House,Thalawathugoda,13,4,3,3500 sq.ft.,Supeshala,+94 763 178 484,"70,000,000"
119,House,Boralesgamuwa,9.25,3,1,2000 sq.ft.,Supeshala,+94 763 178 484,"23,000,000"
120,House,Pannipitiya,20,3,2,4000 sq.ft.,Supeshala,+94 763 178 484,"23,000,000"
121,House,Kohuwala,12.5,4,4,7000 sq.ft.,,+94 773 268 427,"55,000,000"
122,House,Thalawathugoda,21,3,1,2500 sq.ft.,Supeshala,+94 763 178 484,"49,000,000"
123,House,Boralesgamuwa,6,4,3,3100 sq.ft.,Supeshala,+94 763 178 484,"31,000,000"
124,House,Athurugiriya close to millenium city,6,3,3,1200 sq.ft.,Priyantha,+94 711 335 043,"12,000,000"
125,House,Athurugiriya close to millenium city,8,4,3,2500 sq.ft.,Priyantha,+94 711 335 043,"16,000,000"
126,House,"Kalagedihena sapugasthanna road, Gampaha",12.5,3,2,1350 sq.ft.,Priyantha,+94 711 335 043,"6,000,000"
127,House, , , , , , , ,"6,000,000"
128,House,"Araliya Uyana Depanama , Pannipitiya",20,5,3,3 Car parking spaces,Senanayake,+94 773 411 335,"75,000,000"
129,House,"wijerama,dewananda road, Nugegoda",8.5,3,2,2200 sq.ft.,chathuranga,+94 719 091 099,"27,500,000"
130,House,"school lane, Nawala",9.8,3,5,4000 sq.ft.,Jiffry,+94 777 674 422,"75,000,000"
131,House,"Parliament Road, Pelawatte",7,5,3,3500 sq.ft.,First Property Management & Assets ( Pvt,+94 714 000 888,"55,000,000"
132,House,Malabe,10,5,4,4000 sq.ft.,Manoj Serasinghe,+94 777 720 453,"55,000,000"
133,House,"VIJABA MAWATHA, Malabe",10,3,3,900 sq.ft.,Pushpa Kumara,+94 777 489 990,"24,000,000"
134,House,"PELAWATHTHA, Battaramulla",6,3,3,1750 sq.ft.,Pushpa Kumara,+94 777 489 990,"35,000,000"
135,House,"PELAWATHTHA, Battaramulla",6,5,4,2000 sq.ft.,Pushpa Kumara,+94 777 489 990,"55,000,000"
136,House,"Hill Street , Dehiwala",12,5+,14,8600 sq.ft.,First Property Management & Assets ( Pvt,+94 714 000 888,"150,000,000"
137,House,Pita Kotte,14.70,5+,4,4000 sq.ft.,Yohan Weerasingha,+94 774 800 623,"45,000,000"
138,House,"Thalawathugoda Road, Sri Jayawardanapura Kotte, Pita Kotte",31,4,4,6000 sq.ft.,First Property Management & Assets ( Pvt,+94 714 000 888,"90,000,000"
139,House,"Battaramulla Road, Thalahena",15,5,5,4200 sq.ft.,First Property Management & Assets ( Pvt,+94 714 000 888,"45,000,000"
140,House,"Rajagiriya Road, Nawala",10,4,3,4000 sq.ft.,First Property Management & Assets ( Pvt,+94 714 000 888,"85,000,000"
141,House,"Pelawatta road, Thalawathugoda, Pelawatte",21,5,3,2500 sq.ft.,First Property Management & Assets ( Pvt,+94 714 000 888,"85,000,000"
142,House, , , , , , , ,"85,000,000"
143,House,Galle,26.6,3,2,3 Car parking spaces,Mister T,+94 764 157 736,"17,500,000"
144,House,"Park Road, Colombo 5",17.5,5+,5,4 Car parking spaces,Owners,+94 716 357 240,"288,000,000"
145,House,Thalawathugoda,11,3,4,4500 sq.ft.,,+94 718 673 953,advertiser
146,House, , , , , , , ,advertiser
147,House, , , , , , , ,advertiser
148,House,"Makilangamuwa, Ganemulla",32,4,2,3400 sq.ft.,Ranatunga,+94 773 951 560,"32,500,000"
149,House,"Jayanthipura, Battaramulla",15,5,5,6 Car parking spaces,Nelum,+94 773 824 177,"60,000,000"
150,House,Kandana,23,5+,3,3000 sq.ft.,Rukshan Goonewardene,+94 777 270 887,"22,000,000"
151,House,"horana - coiombo bus road (120), Gonapola",12,2,1,1100 sq.ft.,lalith,+94 777 120 750,"7,000,000"
152,House,Moratuwa,9.1,5+,5,4000 sq.ft.,Rukshan Goonewardene,+94 777 270 887,"44,000,000"
153,House,"Pagoda Road, Nugegoda",10.2,5,3,3800 sq.ft.,Shali,+94 777 129 393,"65,000,000"
154,House,Badalgama,60,3,1,1300 sq.ft.,Mr.Sagara,+94 772 529 292,"19,000,000"
155,House,Katunayake,34.5,5,2,2000 sq.ft.,Mr.Sagara,+94 772 529 292,"40,000,000"
156,House,Wennappuwa,25,4,2,3500 sq.ft.,Mr.Sagara,+94 772 529 292,"20,000,000"
157,House,Kochchikade,13.5,4,4,2000 sq.ft.,Mr.Sagara,+94 772 529 292,"28,000,000"
158,House, , , , , , , ,"28,000,000"
159,House, , , , , , , ,"28,000,000"
160,House, , , , , , , ,"28,000,000"
161,House, , , , , , , ,"28,000,000"
162,House, , , , , , , ,"28,000,000"
163,House, , , , , , , ,"28,000,000"
164,House,"Kudapaduwa, Negombo",17.5,2,4,1200 sq.ft.,Mr.Sagara,+94 772 529 292,"21,500,000"
165,House,"Kimbulapitiya, Negombo",16.75,3,2,1750 sq.ft.,Mr.Sagara,+94 772 529 292,"10,000,000"
166,House,"Kurana, Katunayake",9.9,1,1,600 sq.ft.,Mr.Sagara,+94 772 529 292,"6,300,000"
167,House,"Miriswatta, Negombo",15.0,2,1,1500 sq.ft.,Mr.Sagara,+94 772 529 292,"7,500,000"
168,House,"Kandawala, Katana",30,2,1,800 sq.ft.,Mr.Sagara,+94 772 529 292,"29,750,000"
169,House,Demanhandiya,14.0,2,1,600 sq.ft.,Mr.Sagara,+94 772 529 292,"4,800,000"
170,House,Kandy,12.5,5,5,4500 sq.ft.,,+94 771 442 323,"85,000,000"
171,House,Demanhandiya,36.4,2,1,1000 sq.ft.,Mr.Sagara,+94 772 529 292,"11,500,000"
172,House,"Bomugammana, Divulapitiya",14.5,3,1,1500 sq.ft.,Mr.Sagara,+94 772 529 292,"5,500,000"
173,House,Kimbulapitiya,15,3,1,1000 sq.ft.,Mr.Sagara,+94 772 529 292,"5,000,000"
174,House,Malabe,8,4,3,2200 sq.ft.,Reach Real Estate,+94 772 525 457,"25,000,000"
175,House,Nawinna,10.6,4,3,4100 sq.ft.,Reach Real Estate Sri Lanka,+94 772 525 457,"58,500,000"
176,House,"Off Havelock road, Colombo 6",15,4,3,3000 sq.ft.,Reach Real Estate Sri Lanka,+94 772 525 457,"107,000,000"
177,House,"CT Gardens, Piliyandala",16,3,3,2000 sq.ft.,Reach Real Estate Sri Lanka,+94 772 525 457,"34,000,000"
178,House,"Balagolla Housing Scheme, Kengalla",40,4,2,3250 sq.ft.,Rodrigo Realtors (Pvt) Ltd,+94 775 255 101,"20,000,000"
179,House,"Lake View Drive, Colombo 5",10,4,4,3500 sq.ft.,Noor Consultants,+94 772 369 947,"97,000,000"
180,House,Galle,6.5,3,Available,Age of Building 25 + years,MENAVID PVT LTD.,+94 777 881 646,advertiser
181,House,Battaramulla,38.4,5,4,6600 sq.ft.,Exclusive Realtors,+94 776 396 655,"160,000,000"
182,House,Thalawathugoda. kumaragewaththa rd,7,4,4,3300 sq.ft.,DREAM HOMES REAL ESTATE(PVT)LIMITED,+94 775 696 063,"38,500,000"
183,House,Pelawatte,7.4,4,3,3200 sq.ft.,Exclusive Realtors,+94 776 396 655,"38,500,000"
184,House,Thalawathugoda,30,5,6,10300 sq.ft.,,+94 776 396 655,"260,000,000"
185,House,Battaramulla,30,4,3,3700 sq.ft.,Exclusive Realtors,+94 776 396 655,"90,000,000"
186,House,Thalawathugoda. Hokandara rd vidyaloka mwt.,11,5,4,3800 sq.ft.,DREAM HOMES REAL ESTATE(PVT)LIMITED,+94 775 696 063,"45,000,000"
187,House,"VIDYALOKA MAWATHA, Thalawathugoda",17,5,5,5500 sq.ft.,DREAM HOMES REAL ESTATE(PVT)LIMITED,+94 775 696 063,"100,000,000"
188,House,"Hokandara rd. , Thalawathugoda",16,5,5,6000 sq.ft.,DREAM HOMES REAL ESTATE(PVT)LIMITED,+94 775 696 063,"120,000,000"
189,House,"Bollatha, Ganemulla, Gampaha",10.1,4,2,2400 sq.ft.,Ranatunga,+94 773 951 560,"17,000,000"
190,House,"thalawathugoda lake rd, Thalawathugoda",15,4,4,3000 sq.ft.,DREAM HOMES REAL ESTATE(PVT)LIMITED,+94 775 696 063,"52,500,000"
191,House,"Anniwatta, Kandy",51,5+,4,6 Car parking spaces,Krishantha,+94 777 778 130,"70,000,000"
192,House, , , , , , , ,"70,000,000"
193,House, , , , , , , ,"70,000,000"
194,House, , , , , , , ,"70,000,000"
195,House,Kotugoda,22,4,2,3000 sq.ft.,Mr.Sagara,+94 772 529 292,"11,000,000"
196,House,Katana,12.5,2,1,700 sq.ft.,Mr Sagara,+94 772 529 292,"4,500,000"
197,House,"Pitipana, Homagama",31,4,2,2700 sq.ft.,Matarage Real Estate (Pvt) Ltd,+94 777 703 748,"19,000,000"
198,House,"Rukmalgama, Kottawa",7,4,3,1950 sq.ft.,Matarage Real Estate (Pvt) Ltd,+94 777 703 748,"18,500,000"
199,House,"Opal Residencies , Malabe",6.30,4,3,2750 sq.ft.,Matarage Real Estate (Pvt) Ltd,+94 777 703 748,"27,000,000"
200,House,"Marawilla , Abayapura",240,4,4,3000 sq.ft.,Annesley de Silva,+94 759 872 136,"32,000,000"
201,House,Handapangod Road Horana,50,3,4,4000  sq.ft.,Annesley de Silva,+94 759 872 136,"19,000,000"
202,House, , , , , , , ,"19,000,000"
203,House,"Katukurunduwatte, Pannipitiya",8,4,3,2500 sq.ft.,,+94 777 336 375,"28,000,000"
204,House,"Vijerama Road, Nugegoda",12,5,5,4500 sq.ft.,Dilan,+94 777 336 375,"65,000,000"
205,House,"Kumaragewatte , Pelawatte",7.5,4,4,3200 sq.ft.,Dilan,+94 777 336 375,"38,500,000"
206,House,"Newton Senavirathne Mawatha, Boralesgamuwa",8,4,3,2500 sq.ft.,Lalin Mendis,+94 777 335 070,"36,000,000"
207,House,"Karawanella - Warakapola road , Ruwanwella",40,5,2,Age of Building 5 + years,Ravi Sampath,+94 763 883 372,"12,000,000"
208,House,"pragathi mawatta, Angoda",7.8,5,2,2500 sq.ft.,priyankara,+94 772 658 292,"21,500,000"
209,House,"Kottawa Road, Pelawatte",17.2,4,4,3200 sq.ft.,First Property Management & Assets ( Pvt,+94 714 000 888,"55,000,000"
210,House,"Athurugiriya road, Malabe",21,5+,4,5000 sq.ft.,First Property Management & Assets ( Pvt,+94 714 000 888,"67,000,000"
211,House,"Kalubowila, Dehiwala",12,5+,4,4 Car parking spaces,Rodrigo Realtors (Pvt) Ltd,+94 775 255 101,"85,000,000"
212,House,"Mirihana, Nugegoda",21.5,5,3,4850 sq.ft.,Rodrigo Realtors (Pvt) Ltd,+94 775 255 101,"90,000,000"
213,House, , , , , , , ,"90,000,000"
214,House, , , , , , , ,"90,000,000"
215,House, , , , , , , ,"90,000,000"
216,House,"Thalahena, Malabe",15,5,5,4200 sq.ft.,Rodrigo Realtors (Pvt) Ltd,+94 775 255 101,"45,000,000"
217,House,Panadura,10,3,1,2100 sq.ft.,Kosala,+94 729 729 600,"7,500,000"
218,House,"enderamulla, Wattala",9.33,2,1,1500 sq.ft.,Mister T,+94 763 257 736,"18,000,000"
219,House, , , , , , , ,"18,000,000"
220,House,"Kurana, Negombo",20,5+,7,3000 sq.ft.,Mr.Sagara,+94 772 529 292,"29,500,000"
221,House,"Kawdana , Dehiwala",7,5+,5,2000 sq.ft.,Stanmore,+94 771 238 583,"39,000,000"
222,House,Nugegoda,21.5,4,3,Age of Building 15 + years,My Kind of Space,+94 779 285 955,"110,000,000"
223,House,Kottawa,8.35,5,3,3000 sq.ft.,My Kind of Space,+94 779 285 955,"25,500,000"
224,House,"Old Kandy Road,Dalugama,Kalaniya., Kiribathgoda",21,3,2,1800 sq.ft.,Gamini Kuruppu,+94 771 067 733,"40,000,000"
225,House,"Old Kandy Road,Dalugama,Kalaniya., Kiribathgoda",43,5,2,5200 sq.ft.,Gamini Kuruppu,+94 777 636 990,"45,000,000"
226,House, , , , , , , ,"45,000,000"
227,House, , , , , , , ,"45,000,000"
228,House,Wattala,10,4,4,2 Car parking spaces,Mister T,+94 763 257 736,"32,000,000"
229,House,"no.287/A,udammita,ja-ela, Ja-Ela(udammita)",20,3,1,1600 sq.ft.,ishan akalanka akalanka,+94 750 798 788,advertiser
230,House,Thalawathuhenpita,21,4,4,2700 sq.ft.,Viji,+94 778 827 017,"48,500,000"
231,House, , , , , , , ,"48,500,000"
232,House,"off Cotta Road, Colombo 8",50,4,3,4000 sq.ft.,,+94 777 435 904,"375,000,000"
233,House, , , , , , , ,"375,000,000"
234,House,"Korasa junction , Gampaha",19,3,1,1700 sq.ft.,Lasantha,+94 777 422 823,"6,300,000"
235,House,"NEDIMALA, Dehiwala",10,4,3,4000 sq.ft.,Pushpa Kumara,+94 777 489 990,"45,000,000"
236,House,Colombo 8,23.4,4,4,3549  sq.ft.,Owner,+44 782 531 385,advertiser
237,House, , , , , , , ,advertiser
238,House,"Gangarama Road, Boralesgamuwa",14.6,5,3,2911 sq.ft.,Lochana Silva,+94 777 311 099,"29,000,000"
239,House,Ja-Ela,20,5,3,5800 sq.ft.,Ranatunga,+94 773 951 560,"54,000,000"
240,House,"pepiliyana road, Dehiwala",8.5,4,4,4400 sq.ft.,Owner,+94 775 655 544,"50,000,000"
241,House, , , , , , , ,"50,000,000"
242,House,"Kandy â€“ Colombo rd in Ganetenna, Hingula",54.5,3,3,2750 sq.ft.,Mr. Anil Aluwihare,+94 777 832 160,advertiser
243,House,"Pahalagama, Gampaha",17,4,3,3100 sq.ft.,Ranatunga,+94 773 951 560,"34,500,000"
244,House, , , , , , , ,"34,500,000"
245,House, , , , , , , ,"34,500,000"
246,House,"Makola, Y-Junction, Kiribathgoda",11.1,3,3,1400 sq.ft.,,+94 723 407 580,advertiser
247,House,"Pepiliyana, Nugegoda",06,5+,6,3368 sq.ft.,,+94 775 113 603,"33,000,000"
248,House,Kandana,12,5,4,4458 sq.ft.,Ranatunga,+94 773 951 560,"43,000,000"
249,House,"Mattegoda, Kottawa",6.6,3,2,3000 sq.ft.,Sampath,+94 707 680 833,advertiser
250,House,"Hotel road, Mount Lavinia",6,3,3,2500 sq.ft.,Sagara Jayasooriya,+94 766 684 100,advertiser
251,House,"Manel Place, Mahawela 2nd Lane, Pushparama Rd , Kadawatha",14.01,3,1,1302 sq.ft.,,+93 773 951 560,"17,500,000"
252,House,"Delkanda, Nugegoda",6.5,4,3,1900 sq.ft.,Mr. Weerasekera,+94 711 105 510,"25,000,000"
253,House,"Kimbulgoda, Miriswatte, Gampaha",14.5,4,4,1550 sq.ft.,Ranatunga,+94 773 951 560,"10,000,000"
